,0
0,-40.0
1,120.0
2,256.0
3,508.0
4,504.0
5,478.0
6,466.0
7,504.0
8,406.0
9,400.0
10,474.0
11,508.0
12,566.0
13,632.0
14,588.0
15,616.0
16,758.0
17,670.0
18,664.0
19,522.0
20,652.0
21,682.0
22,646.0
23,902.0
24,880.0
25,776.0
26,690.0
27,658.0
28,732.0
29,746.0
30,660.0
31,720.0
32,760.0
33,752.0
34,634.0
35,452.0
36,474.0
37,556.0
38,670.0
39,774.0
40,724.0
41,670.0
42,712.0
43,682.0
44,694.0
45,690.0
46,674.0
47,664.0
48,768.0
49,686.0
50,738.0
51,728.0
52,782.0
53,806.0
54,750.0
55,670.0
56,556.0
57,452.0
58,648.0
59,594.0
60,690.0
61,658.0
62,690.0
63,688.0
64,672.0
65,666.0
66,678.0
67,816.0
68,812.0
69,802.0
70,798.0
71,746.0
72,606.0
73,588.0
74,766.0
75,830.0
76,912.0
77,682.0
78,684.0
79,670.0
80,732.0
81,702.0
82,774.0
83,582.0
84,772.0
85,880.0
86,910.0
87,718.0
88,758.0
89,794.0
90,794.0
91,642.0
92,500.0
93,486.0
94,514.0
95,494.0
96,558.0
97,670.0
98,706.0
99,526.0
100,594.0
101,568.0
102,652.0
103,664.0
104,850.0
105,712.0
106,656.0
107,666.0
108,804.0
109,852.0
110,868.0
111,836.0
112,1016.0
113,958.0
114,806.0
115,676.0
116,614.0
117,704.0
118,688.0
119,616.0
120,656.0
121,810.0
122,802.0
123,744.0
124,722.0
125,730.0
126,910.0
127,846.0
128,906.0
129,846.0
130,790.0
131,702.0
132,726.0
133,656.0
134,540.0
135,606.0
136,704.0
137,946.0
138,852.0
139,858.0
140,722.0
141,758.0
142,816.0
143,672.0
144,828.0
145,744.0
146,640.0
147,538.0
148,744.0
149,872.0
150,976.0
151,898.0
152,740.0
153,796.0
154,662.0
155,538.0
156,558.0
157,612.0
158,624.0
159,758.0
160,792.0
161,752.0
162,706.0
163,772.0
164,1068.0
165,900.0
166,818.0
167,888.0
168,772.0
169,760.0
170,716.0
171,736.0
172,830.0
173,546.0
174,498.0
175,268.0
176,242.0
177,270.0
178,454.0
179,584.0
180,600.0
181,566.0
182,668.0
183,484.0
184,428.0
185,488.0
186,494.0
187,628.0
188,684.0
189,562.0
190,654.0
191,710.0
192,638.0
193,564.0
194,610.0
195,656.0
196,718.0
197,856.0
198,648.0
199,524.0
200,634.0
201,710.0
202,726.0
203,666.0
204,728.0
205,588.0
206,498.0
207,406.0
208,410.0
209,340.0
210,302.0
211,218.0
212,178.0
213,118.0
214,184.0
215,140.0
216,90.0
217,138.0
218,162.0
219,144.0
220,240.0
221,188.0
222,226.0
223,212.0
224,196.0
225,136.0
226,52.0
227,30.0
228,-10.0
229,42.0
230,82.0
231,56.0
232,36.0
233,44.0
234,56.0
235,36.0
236,30.0
237,-24.0
238,-50.0
239,-72.0
240,-56.0
241,-102.0
242,-138.0
243,-168.0
244,-158.0
245,-164.0
246,-154.0
247,-142.0
248,-186.0
249,-152.0
250,-136.0
251,-150.0
252,-120.0
253,-96.0
254,-94.0
255,-124.0
256,-152.0
257,-172.0
258,-222.0
259,-234.0
260,-234.0
261,-284.0
262,-340.0
263,-336.0
264,-354.0
265,-338.0
266,-294.0
267,-290.0
268,-282.0
269,-322.0
270,-324.0
271,-270.0
272,-334.0
273,-308.0
274,-304.0
275,-276.0
276,-322.0
277,-304.0
278,-342.0
279,-380.0
280,-380.0
281,-452.0
282,-472.0
283,-392.0
284,-358.0
285,-346.0
286,-270.0
287,-298.0
288,-228.0
289,-166.0
290,-148.0
291,-116.0
292,-82.0
293,-80.0
294,-106.0
295,-76.0
296,-74.0
297,-52.0
298,-52.0
299,16.0
300,70.0
301,86.0
302,118.0
303,146.0
304,138.0
305,148.0
306,114.0
307,106.0
308,82.0
309,112.0
310,72.0
311,36.0
312,56.0
313,18.0
314,4.0
315,-32.0
316,-8.0
317,-46.0
318,-36.0
319,-48.0
320,-52.0
321,-18.0
322,12.0
323,28.0
324,66.0
325,42.0
326,12.0
327,34.0
328,66.0
329,48.0
330,34.0
331,34.0
332,44.0
333,92.0
334,72.0
335,46.0
336,52.0
337,46.0
338,2.0
339,-34.0
340,-6.0
341,0.0
342,-12.0
343,-10.0
344,-18.0
345,20.0
346,18.0
347,18.0
348,22.0
349,74.0
350,102.0
351,76.0
352,40.0
353,36.0
354,58.0
355,60.0
356,2.0
357,-6.0
358,-6.0
359,-34.0
360,-22.0
361,-6.0
362,14.0
363,-2.0
364,40.0
365,68.0
366,52.0
367,84.0
368,88.0
369,126.0
370,96.0
371,86.0
372,82.0
373,102.0
374,110.0
375,86.0
376,84.0
377,80.0
378,60.0
379,56.0
380,84.0
381,76.0
382,134.0
383,156.0
384,172.0
385,160.0
386,162.0
387,138.0
388,134.0
389,134.0
390,202.0
391,250.0
392,252.0
393,216.0
394,248.0
395,238.0
396,192.0
397,184.0
398,156.0
399,154.0
400,140.0
401,98.0
402,114.0
403,110.0
404,84.0
405,52.0
406,72.0
407,72.0
408,46.0
409,58.0
410,108.0
411,108.0
412,108.0
413,172.0
414,164.0
415,182.0
416,152.0
417,198.0
418,208.0
419,212.0
420,192.0
421,198.0
422,184.0
423,162.0
424,212.0
425,220.0
426,240.0
427,200.0
428,190.0
429,172.0
430,214.0
431,202.0
432,244.0
433,212.0
434,226.0
435,246.0
436,250.0
437,282.0
438,244.0
439,298.0
440,286.0
441,282.0
442,286.0
443,296.0
444,316.0
445,340.0
446,274.0
447,258.0
448,258.0
449,288.0
450,302.0
451,292.0
452,326.0
453,360.0
454,382.0
455,414.0
456,452.0
457,594.0
458,648.0
459,678.0
460,786.0
461,866.0
462,840.0
463,754.0
464,918.0
465,900.0
466,790.0
467,774.0
468,598.0
469,556.0
470,580.0
471,650.0
472,744.0
473,820.0
474,828.0
475,776.0
476,762.0
477,666.0
478,740.0
479,870.0
480,872.0
481,828.0
482,924.0
483,700.0
484,642.0
485,570.0
486,698.0
487,856.0
488,750.0
489,700.0
490,650.0
491,624.0
492,608.0
493,638.0
494,746.0
495,650.0
496,604.0
497,650.0
498,826.0
499,894.0
500,860.0
501,828.0
502,746.0
503,664.0
504,726.0
505,658.0
506,604.0
507,608.0
508,592.0
509,750.0
510,830.0
511,816.0
512,794.0
513,572.0
514,550.0
515,548.0
516,558.0
517,694.0
518,738.0
519,714.0
520,818.0
521,894.0
522,854.0
523,916.0
524,974.0
525,780.0
526,596.0
527,508.0
528,414.0
529,540.0
530,546.0
531,542.0
532,704.0
533,590.0
534,574.0
535,390.0
536,358.0
537,420.0
538,502.0
539,424.0
540,392.0
541,492.0
542,456.0
543,502.0
544,474.0
545,392.0
546,408.0
547,430.0
548,370.0
549,376.0
550,342.0
551,340.0
552,326.0
553,370.0
554,300.0
555,262.0
556,250.0
557,220.0
558,190.0
559,244.0
560,272.0
561,346.0
562,332.0
563,426.0
564,546.0
565,658.0
566,860.0
567,838.0
568,812.0
569,692.0
570,718.0
571,594.0
572,758.0
573,698.0
574,646.0
575,652.0
576,794.0
577,740.0
578,728.0
579,696.0
580,610.0
581,624.0
582,506.0
583,498.0
584,552.0
585,486.0
586,586.0
587,632.0
588,558.0
589,438.0
590,374.0
591,328.0
592,316.0
593,318.0
594,388.0
595,324.0
596,318.0
597,368.0
598,414.0
599,352.0
600,412.0
601,370.0
602,356.0
603,362.0
604,350.0
605,268.0
606,274.0
607,284.0
608,288.0
609,312.0
610,326.0
611,290.0
612,314.0
613,324.0
614,314.0
615,304.0
616,330.0
617,244.0
618,266.0
619,340.0
620,394.0
621,384.0
622,350.0
623,424.0
624,460.0
625,482.0
626,488.0
627,402.0
628,432.0
629,458.0
630,456.0
631,442.0
632,422.0
633,454.0
634,494.0
635,480.0
636,528.0
637,512.0
638,536.0
639,500.0
640,512.0
641,560.0
642,530.0
643,468.0
644,516.0
645,492.0
646,408.0
647,406.0
648,430.0
649,572.0
650,560.0
651,570.0
652,580.0
653,586.0
654,650.0
655,630.0
656,666.0
657,696.0
658,790.0
659,814.0
660,726.0
661,670.0
662,544.0
663,492.0
664,506.0
665,530.0
666,598.0
667,760.0
668,838.0
669,850.0
670,890.0
671,878.0
672,772.0
673,654.0
674,668.0
675,674.0
676,584.0
677,530.0
678,546.0
679,550.0
680,640.0
681,714.0
682,802.0
683,838.0
684,854.0
685,836.0
686,742.0
687,612.0
688,666.0
689,622.0
690,742.0
691,732.0
692,958.0
693,888.0
694,870.0
695,722.0
696,760.0
697,892.0
698,742.0
699,764.0
700,748.0
701,794.0
702,868.0
703,808.0
704,898.0
705,648.0
706,600.0
707,622.0
708,712.0
709,674.0
710,652.0
711,792.0
712,818.0
713,818.0
714,828.0
715,744.0
716,616.0
717,686.0
718,746.0
719,730.0
720,720.0
721,788.0
722,760.0
723,948.0
724,904.0
725,866.0
726,1056.0
727,966.0
728,908.0
729,760.0
730,626.0
731,614.0
732,464.0
733,568.0
734,530.0
735,446.0
736,506.0
737,466.0
738,564.0
739,636.0
740,652.0
741,808.0
742,562.0
743,512.0
744,534.0
745,568.0
746,772.0
747,948.0
748,820.0
749,832.0
750,768.0
751,646.0
752,770.0
753,744.0
754,604.0
755,620.0
756,608.0
757,666.0
758,696.0
759,658.0
760,590.0
761,722.0
762,712.0
763,896.0
764,860.0
765,792.0
766,716.0
767,704.0
768,740.0
769,596.0
770,518.0
771,540.0
772,540.0
773,566.0
774,552.0
775,624.0
776,596.0
777,772.0
778,920.0
779,820.0
780,938.0
781,816.0
782,688.0
783,648.0
784,442.0
785,490.0
786,628.0
787,560.0
788,516.0
789,540.0
790,722.0
791,726.0
792,832.0
793,806.0
794,826.0
795,774.0
796,686.0
797,614.0
798,570.0
799,716.0
800,654.0
801,604.0
802,770.0
803,702.0
804,676.0
805,784.0
806,854.0
807,838.0
808,804.0
809,710.0
810,662.0
811,644.0
812,728.0
813,646.0
814,490.0
815,442.0
816,394.0
817,368.0
818,438.0
819,494.0
820,568.0
821,546.0
822,526.0
823,538.0
824,534.0
825,476.0
826,554.0
827,532.0
828,490.0
829,440.0
830,462.0
831,356.0
832,314.0
833,330.0
834,302.0
835,354.0
836,342.0
837,362.0
838,470.0
839,572.0
840,586.0
841,578.0
842,720.0
843,748.0
844,688.0
845,728.0
846,754.0
847,730.0
848,784.0
849,804.0
850,810.0
851,752.0
852,794.0
853,726.0
854,834.0
855,852.0
856,746.0
857,732.0
858,766.0
859,724.0
860,672.0
861,536.0
862,494.0
863,600.0
864,678.0
865,766.0
866,776.0
867,776.0
868,684.0
869,504.0
870,384.0
871,282.0
872,172.0
873,230.0
874,280.0
875,408.0
876,372.0
877,378.0
878,452.0
879,516.0
880,470.0
881,534.0
882,398.0
883,446.0
884,388.0
885,448.0
886,446.0
887,412.0
888,434.0
889,400.0
890,362.0
891,364.0
892,378.0
893,434.0
894,486.0
895,580.0
896,480.0
897,432.0
898,446.0
899,544.0
900,554.0
901,614.0
902,684.0
903,636.0
904,634.0
905,732.0
906,606.0
907,636.0
908,512.0
909,514.0
910,480.0
911,494.0
912,448.0
913,390.0
914,382.0
915,450.0
916,616.0
917,640.0
918,640.0
919,598.0
920,566.0
921,510.0
922,482.0
923,564.0
924,590.0
925,684.0
926,666.0
927,648.0
928,600.0
929,570.0
930,614.0
931,716.0
932,598.0
933,628.0
934,650.0
935,514.0
936,510.0
937,412.0
938,438.0
939,436.0
940,404.0
941,330.0
942,292.0
943,264.0
944,230.0
945,174.0
946,176.0
947,180.0
948,152.0
949,138.0
950,182.0
951,168.0
952,138.0
953,130.0
954,134.0
955,74.0
956,128.0
957,86.0
958,112.0
959,90.0
960,90.0
961,110.0
962,120.0
963,136.0
964,104.0
965,104.0
966,134.0
967,112.0
968,108.0
969,106.0
970,128.0
971,138.0
972,176.0
973,106.0
974,132.0
975,200.0
976,208.0
977,138.0
978,96.0
979,90.0
980,54.0
981,98.0
982,168.0
983,154.0
984,168.0
985,156.0
986,222.0
987,222.0
988,256.0
989,214.0
990,220.0
991,244.0
992,190.0
993,144.0
994,152.0
995,138.0
996,146.0
997,170.0
998,178.0
999,194.0
1000,192.0
1001,204.0
1002,210.0
1003,206.0
1004,232.0
1005,278.0
1006,272.0
1007,288.0
1008,234.0
1009,224.0
1010,222.0
1011,232.0
1012,236.0
1013,262.0
1014,314.0
1015,284.0
1016,278.0
1017,280.0
1018,314.0
1019,278.0
1020,268.0
1021,312.0
1022,276.0
1023,292.0
1024,340.0
1025,296.0
1026,300.0
1027,314.0
1028,348.0
1029,312.0
1030,360.0
1031,414.0
1032,390.0
1033,380.0
1034,396.0
1035,402.0
1036,374.0
1037,390.0
1038,364.0
1039,386.0
1040,350.0
1041,352.0
1042,346.0
1043,346.0
1044,346.0
1045,358.0
1046,274.0
1047,256.0
1048,302.0
1049,296.0
1050,292.0
1051,188.0
1052,194.0
1053,214.0
1054,232.0
1055,268.0
1056,292.0
1057,360.0
1058,404.0
1059,442.0
1060,426.0
