,0.2,0.4,0.6,0.8,1,1.2
0,366,-34,70,402,-12,-196
1,-226,-224,-24,310,134,92
2,-120,-74,-460,366,358,-394
3,-446,142,-1104,812,132,-650
4,-1002,108,-660,1086,-380,-546
5,-1172,118,-896,662,-632,-552
6,-1890,-450,-1292,274,-1270,-282
7,-1664,-80,-904,204,-1218,-574
8,-1624,-806,-1288,0,-770,-332
9,-1852,-942,-1046,-8,-906,-982
10,-1904,-764,-1410,-188,-1284,-806
11,-2176,-996,-1218,-368,-1178,-646
12,-2510,-808,-1354,264,-1420,-960
13,-2904,-712,-1342,268,-1366,-1026
14,-2766,-818,-1366,16,-1362,-778
15,-2870,-1152,-1160,30,-1168,-728
16,-2506,-700,-1240,240,-528,-508
17,-2758,-524,-1186,-6,-34,-546
18,-3556,-96,-900,-390,510,-986
19,-4062,-142,-1274,-496,558,-880
20,-4476,-284,-1022,-432,924,-828
21,-4794,-602,-684,-702,1128,-966
22,-5386,-684,-962,-744,1166,-858
23,-5426,-250,-622,-486,2146,-336
24,-5978,-680,-966,-272,1588,-594
25,-6512,-806,-1226,-100,2078,-884
26,-6540,-440,-1452,-20,2680,-1260
27,-6622,-806,-1298,52,3036,-1548
28,-6920,-1086,-1134,296,3136,-1314
29,-7054,-880,-1610,648,2992,-1058
30,-7514,-672,-2306,812,3126,-1262
31,-7990,-1082,-2672,502,2984,-1282
32,-8076,-314,-2524,886,3460,-954
33,-8816,-496,-2808,990,3794,-960
34,-9234,-666,-2892,872,3546,-1102
35,-9274,-1138,-2830,1648,3780,-1170
36,-9584,-1162,-2586,1826,4448,-908
37,-10132,-952,-2472,1632,4226,-1162
38,-10600,-746,-2378,1982,4628,-1256
39,-10656,-1014,-1696,1742,4724,-844
40,-10950,-588,-1394,1580,5364,-728
41,-10890,-510,-1748,1412,5604,-880
42,-11388,-964,-2268,1202,6388,-850
43,-11444,-1358,-2370,1226,6490,-712
44,-11778,-764,-2758,862,6534,-720
45,-11496,-1014,-2732,1358,7038,-650
46,-11764,-1250,-3020,1654,7564,-70
47,-11962,-1220,-2880,1994,8064,592
48,-12002,-1440,-2896,2464,8104,684
49,-12428,-1570,-3250,1926,8414,918
50,-12464,-1336,-3188,2308,8628,1452
51,-13322,-1370,-2916,2664,8566,1400
52,-13458,-1124,-2886,2692,8694,1528
53,-13630,-1372,-2354,2610,8648,1546
54,-14484,-1430,-2328,2434,7566,1258
55,-14716,-2138,-2564,2590,7954,1046
56,-15262,-2418,-2142,2410,8032,1394
57,-15198,-2276,-2432,2240,7850,1550
58,-15844,-2258,-2070,2444,7710,1656
59,-16450,-2138,-1812,2136,7358,1768
60,-17192,-1930,-1594,1926,7006,2132
61,-17626,-2514,-2196,1786,6986,2446
62,-18338,-2798,-2132,1924,7116,2596
63,-18812,-3126,-1900,1714,6792,2928
64,-18866,-3136,-1704,1970,7020,3066
65,-19464,-3084,-1760,2040,7880,2546
66,-20730,-3976,-2376,1704,7974,1924
67,-21250,-4238,-2640,1036,8216,1628
68,-21878,-4458,-3020,1056,8284,1398
69,-22422,-4278,-3470,930,8740,1070
70,-23682,-4514,-4128,642,9038,660
71,-24548,-4354,-4438,436,9098,1198
72,-25214,-4078,-4426,704,9010,1206
73,-25564,-4248,-4360,374,9196,1154
74,-25436,-4550,-4936,468,8882,594
75,-25678,-4504,-5180,950,9142,1146
76,-26268,-4186,-5288,438,8968,868
77,-26304,-3980,-4834,994,9608,1236
78,-27000,-4258,-4990,648,9862,1654
79,-27510,-4308,-5262,1280,9700,1312
80,-28180,-4098,-5282,1068,10014,2010
81,-28234,-4772,-4982,794,11076,2160
82,-27948,-4898,-5068,466,11404,2182
83,-28246,-5012,-5090,544,11580,2178
84,-28640,-4462,-4906,128,11372,1770
85,-28826,-3804,-4440,946,11260,2292
86,-29300,-3818,-5308,720,10904,2032
87,-30330,-3578,-5368,594,11030,2032
88,-31110,-3512,-5492,978,11672,2098
89,-32216,-4260,-5408,722,11902,1800
90,-32806,-4384,-5142,668,11878,1738
91,-33802,-4624,-5874,320,11512,1956
92,-33988,-5060,-6096,280,11752,1774
93,-34466,-5068,-5892,94,11800,1872
94,-34922,-5394,-5672,-204,11910,1608
95,-35438,-5788,-5958,-372,12452,910
96,-35810,-6006,-6236,-478,12554,728
97,-36280,-5910,-5716,-146,12644,654
98,-36432,-5778,-6018,-552,12624,144
99,-36932,-5946,-6216,-396,12802,790
100,-37198,-6284,-5868,-406,12162,628
101,-37270,-6022,-5760,6,11652,934
102,-37890,-5964,-6206,308,11814,946
103,-38296,-5328,-6202,512,12362,1476
104,-38996,-4534,-6248,68,12390,2302
105,-39076,-5120,-6016,-572,13282,2406
106,-39624,-5400,-6686,-1204,13046,2608
107,-39782,-5094,-7222,-1392,12974,2446
108,-39948,-4978,-7254,-1046,12700,2468
109,-40098,-5406,-7378,-740,12478,2632
110,-40646,-5676,-8008,-724,13028,2824
111,-41372,-5808,-8172,-1374,12326,2688
112,-42394,-5786,-8354,-2270,12428,2330
113,-43478,-5928,-8974,-1974,12368,2080
114,-43610,-6056,-9044,-1406,12358,1730
115,-44188,-6210,-9004,-1502,13004,1694
116,-44836,-6616,-9164,-1942,12534,2150
117,-45608,-7098,-8982,-2234,12210,1712
118,-46268,-6986,-9278,-2868,12568,1362
119,-47638,-6396,-8992,-3238,13082,1044
120,-47570,-5786,-9300,-3324,13878,1414
121,-47970,-5886,-9710,-3178,14754,1632
122,-48942,-5712,-9624,-2984,14684,1546
123,-49616,-5724,-9720,-2918,15360,1594
124,-49718,-4632,-9250,-2822,15158,1950
125,-50430,-4444,-9038,-3158,15286,1902
126,-51972,-4674,-8970,-2756,15464,1452
127,-53228,-4368,-9438,-2232,16086,1584
128,-54042,-5144,-9876,-2572,16180,1894
129,-54650,-5152,-10822,-2752,15998,2028
130,-55210,-4824,-10950,-2448,16192,2114
131,-55376,-5058,-10624,-1988,15576,2398
132,-55942,-5156,-10910,-2554,15880,2084
133,-55860,-4872,-10732,-2618,16036,2210
134,-56634,-4920,-10892,-2898,15706,2430
135,-57068,-4772,-10682,-3086,15930,2168
136,-57496,-4644,-10648,-3076,16360,2030
137,-59054,-4734,-11304,-3598,16368,1912
138,-59042,-4538,-11952,-3316,18060,1932
139,-59622,-4184,-11368,-3496,17992,2048
140,-59924,-3994,-11890,-3780,17960,1436
141,-60734,-4630,-12534,-4288,17756,1150
142,-61334,-4784,-13418,-4544,17546,950
143,-61902,-4130,-13208,-4974,17194,990
144,-62326,-4640,-13650,-5402,16844,362
145,-62834,-4580,-14366,-5434,17072,126
146,-63422,-4696,-13976,-5284,17888,-38
147,-64290,-5660,-13694,-4970,17742,-760
148,-65376,-5524,-13930,-5396,18618,-360
149,-66144,-5442,-14312,-6074,18368,-982
150,-66900,-5406,-14882,-6242,18290,-1346
151,-67702,-5372,-15230,-6268,19282,-952
152,-68342,-5372,-15578,-6520,19564,-888
153,-69328,-5086,-15354,-6764,19362,-292
154,-70128,-5136,-15632,-6924,19640,-894
155,-71602,-4946,-15810,-6554,19476,-996
156,-71672,-4988,-16042,-6068,20342,-1278
157,-72450,-4914,-16126,-6056,20114,-764
158,-72656,-5132,-16608,-6664,19488,-936
159,-73492,-4740,-16230,-6168,18978,-532
160,-74180,-4728,-16820,-6938,18748,-538
161,-75868,-4888,-16820,-7844,19118,-638
162,-76510,-5048,-17608,-7606,19196,-488
163,-75852,-5126,-17770,-7876,18552,-126
164,-76644,-4858,-18056,-8370,18758,-324
165,-76962,-4580,-18054,-8232,18360,228
166,-78298,-4310,-17550,-8126,18376,1014
167,-78776,-4364,-16858,-8892,19174,684
168,-79502,-4444,-16516,-8268,19732,1090
169,-79106,-4388,-16274,-7498,19318,1648
170,-79064,-4218,-16620,-7576,20138,1246
171,-79184,-4130,-16990,-7444,20252,1446
172,-79556,-4256,-16848,-8686,20484,1442
173,-79832,-4642,-17476,-8380,21372,1770
174,-81092,-4394,-17432,-8684,22360,1840
175,-81134,-4222,-17844,-9412,22118,1658
176,-82762,-4254,-18294,-9978,21718,1626
177,-83546,-4122,-18306,-10882,21698,1346
178,-84200,-3378,-18540,-10750,21918,1264
179,-84072,-3112,-19012,-11040,22172,1392
180,-84342,-3366,-19832,-10720,22414,1908
181,-84586,-3822,-19330,-10918,22408,1480
182,-85854,-4214,-19656,-10592,23780,1804
183,-86648,-4270,-20356,-10792,23872,1606
184,-86210,-4728,-19660,-11636,23448,1116
185,-86918,-4346,-19362,-11912,22730,1296
186,-88242,-4570,-20126,-12096,23284,1466
187,-89250,-4896,-19640,-12522,23110,1794
188,-89828,-5308,-20522,-13446,23176,2284
189,-91412,-5428,-20658,-13440,22742,2468
190,-91718,-6128,-21080,-14518,22932,2690
191,-92978,-6260,-20890,-15152,22628,2938
192,-93136,-6044,-20632,-16290,21892,3100
193,-93806,-6292,-20804,-16852,21782,3154
194,-93990,-6138,-20744,-16814,21980,3420
195,-95556,-6238,-21592,-17298,21906,3590
196,-95820,-6622,-21572,-16884,22224,3468
197,-96618,-6014,-22226,-17698,21958,3344
198,-97534,-5958,-22324,-18424,22020,3966
199,-97674,-6728,-22480,-19204,22102,3696
200,-99432,-6436,-23346,-20468,22272,3782
201,-99926,-6310,-23528,-21166,22190,4110
202,-100598,-6542,-24084,-22136,22376,3938
203,-101184,-6102,-24584,-22900,23030,4084
204,-101850,-6236,-25018,-23992,22786,4088
205,-102226,-5588,-25082,-24584,22936,4020
206,-102482,-5716,-25782,-25372,22206,4072
207,-104068,-5546,-25158,-25694,21692,5310
208,-104380,-5576,-24382,-26354,21308,5082
209,-105116,-5774,-23788,-26788,21480,5828
210,-105016,-6082,-24064,-27528,22272,5622
211,-105846,-5930,-24544,-27798,22626,6132
212,-105912,-5738,-24568,-28078,23248,5656
213,-106334,-5838,-24688,-28990,24766,5168
214,-107148,-5964,-24274,-30114,25424,4066
215,-108222,-5814,-23458,-30352,25622,4446
216,-109078,-5754,-23614,-32100,25596,5106
217,-109672,-5368,-23830,-32148,25324,5654
218,-109520,-5168,-23674,-32824,25296,5838
219,-110554,-5182,-23930,-33622,25466,5952
220,-111932,-5498,-24072,-33976,25432,6230
221,-113540,-5618,-24568,-34960,25272,5694
222,-113538,-5616,-24584,-35592,25272,5646
223,-114210,-5358,-25486,-35922,25720,5966
224,-115736,-5400,-25582,-37038,25680,6030
225,-116514,-5282,-26438,-37664,26288,6014
226,-116308,-5374,-26148,-37884,26126,5886
227,-116936,-5484,-26282,-39458,26222,6058
228,-117778,-6118,-26720,-39094,25378,5556
229,-118988,-5646,-26636,-39972,25400,5846
230,-119034,-5558,-26620,-41090,25502,5352
231,-120418,-5872,-27154,-41318,25522,4958
232,-121016,-5828,-26660,-42648,25620,5378
233,-122046,-5762,-26286,-43342,25780,5122
234,-122844,-5940,-26802,-44600,25476,5000
235,-124474,-5888,-26744,-45812,25828,5492
236,-125532,-5784,-26028,-47312,25086,5858
237,-125756,-5138,-26242,-49022,25182,5518
238,-126204,-5208,-25466,-50136,25284,6238
239,-127328,-5652,-25856,-50364,25104,6686
240,-127962,-5794,-25944,-51104,25032,6514
241,-128614,-5832,-25960,-51084,24634,7290
242,-129448,-5492,-26918,-52176,24500,7930
243,-130242,-5210,-26298,-53458,24754,8128
244,-131098,-5192,-26282,-54002,25428,7562
245,-131816,-5710,-25916,-54240,25454,7198
246,-133040,-5158,-26556,-55396,25146,7248
247,-133526,-4646,-26098,-56568,25504,7118
