,0.2,0.4,0.6,0.8,1,1.2
0,-236,468,-252,-28,-66,256
1,206,1022,-24,86,-244,1910
2,500,1678,-42,-98,-338,4502
3,398,2404,-284,-576,-1104,9290
4,120,3166,-954,-910,-1998,15618
5,-184,3864,-1216,-2064,-4328,17932
6,-392,4882,-1954,-3742,-8586,18052
7,48,6418,-3028,-6388,-14578,17998
8,-178,7566,-5356,-10906,-17364,17646
9,-452,8124,-8618,-15454,-17620,17438
10,-218,8982,-11982,-16532,-17442,17556
11,-660,9410,-13918,-16444,-17324,17038
12,20,10128,-14616,-16224,-17196,17414
13,20,10606,-14486,-15824,-16790,17832
14,322,11146,-14418,-16104,-16972,17884
15,86,11624,-14062,-15796,-16650,17766
16,274,11394,-14410,-15846,-16772,17752
17,-86,11116,-14582,-15946,-16874,17560
18,-30,10696,-14878,-15982,-16950,17598
19,-280,10372,-14586,-16140,-16848,17328
20,-284,10770,-14438,-15674,-16612,17264
21,-6,10920,-14390,-15712,-16630,17424
22,32,10578,-14630,-16154,-16830,17586
23,72,10670,-14746,-16262,-16824,17478
24,-232,10770,-14826,-16402,-17146,17358
25,-238,10716,-14772,-15770,-16680,17388
26,-180,10484,-14666,-15898,-16816,17378
27,-304,10328,-14366,-16282,-16812,17166
28,84,10498,-14670,-16370,-17064,17376
29,450,11134,-14532,-16198,-17070,17510
30,-234,11050,-14614,-16384,-17274,17344
31,-648,10232,-14842,-16282,-17028,17746
32,-366,10846,-14358,-16026,-16844,17654
33,-412,10568,-14214,-16108,-17162,17368
34,-614,10496,-14482,-16200,-16974,17294
35,-32,10724,-14634,-16038,-16898,17456
36,164,10986,-14492,-16086,-16796,17528
37,-66,10790,-14968,-16118,-17352,17370
38,-268,10938,-14968,-16038,-17126,17220
39,-252,10938,-14438,-15982,-16878,17566
40,-26,10830,-14710,-16366,-17164,17486
41,-164,10756,-14662,-15940,-16518,17344
42,100,10978,-14696,-16126,-16822,17504
43,184,10898,-14596,-16036,-16890,17512
44,28,10926,-14558,-15838,-16826,17744
45,66,10682,-14620,-15742,-16996,17068
46,-132,10728,-14834,-16248,-16780,17304
47,-96,10466,-14398,-16104,-16808,17564
48,190,10740,-14324,-15786,-16852,17604
49,450,10658,-14500,-15984,-17236,17480
50,374,10408,-14480,-15858,-17232,17378
51,102,10622,-14922,-16084,-16900,17504
52,400,10910,-14610,-16166,-16902,17206
53,362,10986,-14442,-16096,-16594,17568
54,-130,10842,-14392,-16154,-16874,17400
55,154,11048,-14300,-15742,-16708,17596
56,-82,10198,-14572,-16248,-16946,17416
57,-16,10344,-14502,-16136,-17216,17288
58,-300,10760,-14726,-15820,-16898,17472
59,-318,10840,-14720,-15936,-17078,17156
60,130,11374,-14790,-16100,-16908,17500
61,2,11078,-14718,-15906,-16966,17346
62,-62,11166,-14560,-15848,-16924,17408
63,-494,10776,-14800,-16226,-17010,17274
64,-410,11084,-14536,-16068,-16554,17764
65,-596,10912,-14664,-15902,-16532,17418
66,-958,10672,-15142,-16052,-17052,17426
67,-1106,10542,-15008,-16374,-16698,17474
68,-678,10830,-14138,-16018,-16648,17740
69,-206,10926,-14156,-16116,-17054,17814
70,-686,10640,-14428,-16176,-17182,17658
71,-376,11216,-14078,-15768,-16924,18018
72,-204,11002,-14364,-15686,-16810,17690
73,-160,10938,-14528,-16000,-16892,17602
74,198,10936,-14240,-15864,-16810,17586
75,194,10888,-14592,-16014,-17006,17298
76,-260,10632,-14910,-16326,-17360,17184
77,-498,10428,-14658,-16128,-17070,17404
78,-246,10736,-14420,-16124,-16872,17366
79,-290,10840,-14572,-16128,-17216,17546
80,-132,10844,-14364,-16526,-16766,17350
81,-300,10704,-14466,-16274,-16794,17326
82,-50,10526,-14394,-16072,-16970,17324
83,82,10558,-14808,-16204,-17062,17276
84,218,10376,-14720,-16518,-16986,17532
85,636,10562,-14396,-15774,-16712,17610
86,-32,10242,-14652,-16390,-16974,17010
87,104,10744,-14762,-16334,-16884,17386
88,60,10950,-14450,-16058,-17148,17384
89,-392,10976,-14440,-16022,-16496,17256
90,-150,11140,-14294,-15822,-16836,17600
91,-248,10896,-14134,-15958,-16808,17838
92,46,11078,-14264,-15880,-16794,17818
93,154,10818,-14328,-15986,-17162,17310
94,282,10674,-14730,-16300,-17118,16978
95,-84,10658,-14506,-16010,-16926,17308
96,-354,10592,-14560,-16106,-16862,17340
97,118,11114,-14264,-15940,-16600,17670
98,436,11044,-14340,-15892,-16974,17522
99,374,11116,-14542,-16048,-17072,17232
100,270,11176,-14980,-16460,-16956,16988
101,-62,10726,-14890,-16508,-17090,17282
102,-244,10456,-14876,-16252,-16826,17414
103,-266,10332,-14704,-15908,-16870,17508
104,-658,10080,-14980,-16270,-17166,17372
105,-866,10162,-15136,-16478,-16976,17354
106,-1214,9938,-14984,-16548,-17678,17252
107,-936,9996,-14490,-16240,-16996,17482
108,-336,10416,-14354,-16108,-16942,17494
109,-378,10954,-14552,-16076,-16758,17418
110,-252,10852,-14466,-16150,-16610,17196
111,-550,10878,-14248,-16268,-17040,17362
112,-780,10430,-14486,-16270,-17208,17484
113,-668,10378,-14686,-16128,-17264,17606
114,-752,10624,-14402,-15940,-17008,17744
115,-512,11230,-14172,-15944,-16544,17618
116,-850,10686,-14580,-16066,-16860,17466
117,-692,10364,-14824,-16416,-17278,17162
118,-702,10068,-15012,-16398,-17056,17144
119,-682,10374,-14994,-16148,-16950,17274
120,-328,10872,-14502,-16226,-16934,17490
121,-146,10832,-14302,-16086,-17038,17722
122,44,10642,-14390,-16048,-16974,17426
123,72,10702,-14806,-16034,-17024,17426
124,72,10750,-14584,-15712,-16980,17686
125,176,10594,-14364,-15672,-16926,17578
126,350,10718,-14372,-15770,-16964,17468
127,272,10568,-14546,-16140,-17172,17174
128,514,10826,-14490,-16138,-17148,17478
129,182,11058,-14282,-16224,-17070,17596
130,732,11396,-14192,-15866,-16762,17722
131,568,11324,-14296,-15900,-17022,17492
132,148,10520,-14734,-16032,-16948,17344
133,170,11016,-14606,-15788,-16590,17810
134,-114,10708,-14864,-16046,-17058,17424
135,114,10828,-14318,-16020,-16786,17362
136,386,10730,-14390,-16072,-16662,17368
137,252,10468,-14668,-16140,-16922,17260
138,628,10846,-14398,-15830,-16966,17358
139,60,10476,-14756,-15946,-16598,17182
140,-48,10138,-14620,-16322,-16588,17622
141,-104,10338,-14976,-16458,-16966,17374
142,-256,10434,-14742,-16172,-16760,17386
143,282,10596,-14268,-16054,-16778,17172
144,314,10684,-14472,-16024,-17076,17464
145,554,10848,-14410,-16114,-16880,17462
146,312,10612,-14570,-16310,-17034,17390
147,-432,10312,-14858,-16428,-16990,17462
148,-658,10326,-14744,-16084,-16634,17378
149,-600,10264,-14732,-16030,-16660,17214
150,-392,10518,-14318,-16178,-16840,17350
151,-220,10502,-14456,-16164,-17024,17432
152,222,10702,-14642,-15898,-16950,17492
153,514,10834,-14382,-15478,-16844,17148
154,222,10622,-14514,-16080,-16832,17384
155,326,11042,-14234,-15916,-16706,17442
156,608,11346,-14148,-15934,-16386,17412
157,618,11076,-14250,-15988,-16774,17386
158,608,10868,-14272,-15944,-16884,17354
159,158,10446,-14824,-16318,-16700,17474
160,-142,10422,-15072,-16322,-17036,17638
161,-40,10480,-14948,-16422,-17352,17640
162,-248,10476,-14562,-16134,-17060,17492
163,-54,10408,-14508,-16186,-16960,17268
164,168,10670,-14750,-16116,-16782,17372
165,390,11064,-14280,-16212,-16544,17690
166,250,10934,-14446,-16096,-16756,17728
167,340,10992,-14470,-16350,-17058,17374
168,478,11474,-14006,-15600,-16432,17704
169,404,11184,-14282,-16082,-16846,17248
170,476,10816,-14730,-16384,-16924,17228
171,368,10932,-14904,-16606,-17138,17478
172,604,10934,-14682,-16328,-16840,17520
173,776,10900,-14430,-16140,-17008,17606
174,1376,11094,-14282,-15982,-17014,17678
175,1450,11210,-14396,-15822,-16612,17900
176,1318,11330,-14310,-16076,-16462,17302
177,1132,11372,-14364,-15952,-16590,17206
178,920,11104,-14368,-16088,-16780,17082
179,140,10534,-14896,-16172,-16954,17218
180,86,10300,-14754,-16242,-17172,17208
181,-18,10292,-14924,-16232,-16956,17290
182,586,11004,-14304,-16120,-16934,17520
183,586,11304,-14250,-16106,-16676,17618
184,500,11188,-14276,-16146,-16928,17326
185,488,11070,-14544,-15774,-17156,17488
186,92,10902,-14732,-16266,-16806,17298
187,26,10794,-14666,-16402,-16664,17474
188,382,10746,-14192,-16180,-16628,17748
189,562,10478,-14386,-15894,-16894,17530
190,-238,10098,-14744,-16040,-16922,17550
191,-386,10146,-14804,-16358,-16986,17544
192,-242,10358,-14600,-15822,-16764,17266
193,-596,10220,-14988,-15940,-17086,17178
