,0
0,120
1,428
2,520
3,716
4,1104
5,1442
6,1582
7,1614
8,1232
9,1482
10,1694
11,1808
12,1960
13,1878
14,1806
15,1690
16,1690
17,1612
18,1744
19,1886
20,1948
21,1794
22,2050
23,2000
24,2082
25,2142
26,2194
27,2156
28,2096
29,2266
30,2204
31,2392
32,2412
33,2224
34,2036
35,2110
36,2062
37,2006
38,1854
39,1628
40,1808
41,1728
42,1612
43,1606
44,1752
45,2318
46,2212
47,2390
48,2130
49,2150
50,2312
51,1912
52,1572
53,1852
54,1752
55,1892
56,1904
57,1894
58,1918
59,2098
60,2198
61,1916
62,1918
63,1896
64,1900
65,1862
66,1872
67,1868
68,1376
69,1242
70,1286
71,1242
72,1544
73,1478
74,1302
75,1234
76,1280
77,1270
78,1074
79,960
80,1152
81,1448
82,1480
83,1332
84,1780
85,1756
86,1708
87,1796
88,1916
89,1948
90,1592
91,1504
92,1638
93,1696
94,1716
95,1458
96,1562
97,1346
98,1664
99,1852
100,2004
101,2180
102,2154
103,2202
104,2296
105,2050
106,1966
107,1816
108,1740
109,1788
110,1862
111,1870
112,1790
113,2152
114,2012
115,1900
116,2124
117,1658
118,1458
119,1334
120,1380
121,1572
122,1794
123,1700
124,1546
125,1616
126,1634
127,1896
128,1666
129,1546
130,1648
131,1698
132,1970
133,1740
134,1678
135,1616
136,1646
137,1724
138,1546
139,1574
140,1692
141,1740
142,1888
143,1860
144,1930
145,1842
146,1996
147,1914
148,1896
149,2000
150,1824
151,1740
152,1650
153,1276
154,1330
155,1786
156,1490
157,1626
158,1860
159,2078
160,1818
161,1612
162,1656
163,1650
164,1764
165,1724
166,1808
167,1612
168,1162
169,820
170,1042
171,1080
172,1258
173,1120
174,1060
175,970
176,924
177,954
178,748
179,598
180,654
181,566
182,496
183,672
184,736
185,550
186,636
187,992
188,986
189,784
190,964
191,1136
192,1180
193,1186
194,1414
195,1486
196,1408
197,1016
198,980
199,1046
200,1080
201,952
202,1002
203,1234
204,1566
205,1822
206,1782
207,2100
208,2056
209,2024
210,2104
211,2064
212,2124
213,1838
214,1868
215,1750
216,1768
217,1574
218,1694
219,1998
220,1918
221,1660
222,1456
223,1512
224,1640
225,1670
226,1476
227,1268
228,1100
229,1136
230,988
231,1070
232,1168
233,1228
234,1338
235,1630
236,1820
237,2020
238,2042
239,2328
240,2360
241,2096
242,2286
243,2390
244,2128
245,1916
246,2098
247,2048
248,2016
249,1910
250,1614
251,1654
252,1466
253,1940
254,1848
255,1830
256,2034
257,2088
258,2082
259,2258
260,2280
261,2506
262,2674
263,2640
264,2902
265,2706
266,2726
267,2712
268,2572
269,2566
270,2304
271,2036
272,1902
273,2202
274,2000
275,2130
276,2286
277,2192
278,1970
279,1800
280,1646
281,1410
282,1076
283,1178
284,1210
285,1110
286,978
287,1004
288,896
289,830
290,1058
291,1340
292,1328
293,1486
294,1626
295,1660
296,1564
297,1676
298,1606
299,1858
300,1644
301,1932
302,1700
303,2078
304,2256
305,2128
306,2046
307,1852
308,2038
309,1954
310,2120
311,1972
312,2228
313,2080
314,2244
315,2430
316,2572
317,1922
318,1844
319,1688
320,1812
321,1726
322,1694
323,1600
324,2050
325,2064
326,1950
327,1588
328,1790
329,1750
330,1920
331,1948
332,1730
333,1640
334,1738
335,2038
336,1866
337,1954
338,1592
339,1428
340,1464
341,1600
342,1432
343,1308
344,1352
345,1210
346,1300
347,1318
348,1458
349,1830
350,1856
351,2020
352,1532
353,1502
354,1462
355,1568
356,1504
357,1520
358,1486
359,1612
360,1612
361,1606
362,1442
363,1470
364,1380
365,1680
366,1818
367,1612
368,1578
369,1616
370,1592
371,1686
372,1656
373,1848
374,1738
375,1624
376,1734
377,1666
378,1498
379,1504
380,1316
381,1436
382,1756
383,1572
384,1618
385,1448
386,1164
387,960
388,1138
389,1388
390,1744
391,1964
392,1752
393,2054
394,2250
395,1876
396,1716
397,2060
398,1972
399,2062
400,1992
401,1790
402,1680
403,1714
404,1938
405,1808
406,1734
407,1736
408,2218
409,2388
410,2278
411,2016
412,2108
413,2118
414,2168
415,2052
416,2214
417,2106
418,2060
419,2186
420,2026
421,2238
422,1906
423,1914
424,1874
425,1740
426,2006
427,1976
428,1740
429,1570
430,1490
431,1632
432,1964
433,1732
434,1844
435,2090
436,2114
437,2028
438,2278
439,2332
440,2038
441,2020
442,2180
443,2328
444,2214
445,2120
446,1956
447,1906
448,1902
449,2198
450,2260
451,1860
452,1728
453,1722
454,1654
455,2004
456,1978
457,2012
458,2058
459,2066
460,2106
461,2160
462,1976
463,1724
464,1772
465,1544
466,1506
467,1240
468,1184
469,1208
470,1274
471,1294
472,1302
473,1366
474,1046
475,1016
476,932
477,1126
478,1508
479,1538
480,1666
481,1446
482,1324
483,1512
484,1528
485,1426
486,1840
487,1736
488,1922
489,1718
490,1722
491,1746
492,1798
493,1810
494,1958
495,2220
496,1670
497,1688
498,1600
499,1708
500,1390
501,1522
502,1670
503,1626
504,1536
505,1308
506,1314
507,1290
508,1576
509,1492
510,1672
511,2042
512,2042
513,2060
514,2038
515,2374
516,2054
517,1920
518,1722
519,1528
520,1616
521,1886
522,1522
523,1778
524,1812
525,1448
526,1610
527,1434
528,1726
529,1734
530,1784
531,1890
532,1756
533,1518
534,1670
535,1836
536,1724
537,1450
538,1688
539,1800
540,1708
541,1560
542,1738
543,1696
544,1584
545,1452
546,1208
547,1398
548,1142
549,1202
550,1256
551,1136
552,1458
553,1518
554,1440
555,1600
556,1776
557,1760
558,1706
559,1692
560,1426
561,1186
562,1266
563,1256
564,1670
565,2078
566,1904
567,1768
568,2136
569,2054
570,2142
571,2016
572,1908
573,2050
574,1772
575,1668
576,1934
577,1706
578,1694
579,1806
580,1664
581,1472
582,1642
583,1456
584,1474
585,1372
586,1444
587,1430
588,1720
589,1324
590,1348
591,1214
592,1274
593,1180
594,1046
595,1142
596,1274
597,1528
598,1654
599,2172
600,1984
601,1998
602,1694
603,1590
604,1470
605,1594
606,1556
607,1424
608,1480
609,1320
610,1392
611,1376
612,1506
613,1466
614,1336
615,1568
616,1454
617,1634
618,1730
619,1726
620,1620
621,1698
622,1630
623,1608
624,1442
625,1696
626,1892
627,1770
628,1702
629,1754
630,1946
631,1802
632,1984
633,2052
634,2154
635,2108
636,2140
637,2436
638,2522
639,2128
640,1908
641,2120
642,2112
643,1352
644,1250
645,1498
646,1338
647,1196
648,1452
649,1840
650,1914
651,1774
652,1914
653,1844
654,1920
655,2036
656,1974
657,1830
658,2028
659,2100
660,1910
661,1556
662,1680
663,1708
664,1806
665,1666
666,1522
667,1630
668,1636
669,1832
670,1940
671,2028
672,2148
673,1516
674,1448
675,1646
676,1790
677,1962
678,1668
679,1846
680,1746
681,2010
682,1924
683,2046
684,2010
685,2118
686,2152
687,1888
688,1922
689,2012
690,2358
691,1968
692,1900
693,2168
694,2068
695,1820
696,2028
697,1834
698,1916
699,1624
700,1322
701,1424
702,1620
703,1268
704,1288
705,1456
706,1460
707,1628
708,1636
709,1332
710,1662
711,1816
712,1698
713,1962
714,1956
715,1952
716,1760
717,1728
718,1756
719,1742
720,1376
721,1358
722,1510
723,1510
724,1246
725,1356
726,1312
727,1250
728,1432
729,1598
730,1732
731,1462
732,1722
733,1814
734,1676
735,1672
736,1684
737,1570
738,1460
739,1402
740,1202
741,1528
742,1466
743,1348
744,1232
745,1358
746,1232
747,1570
748,1456
749,1570
750,1726
751,1672
752,1726
753,1650
754,1800
755,1796
756,1894
757,1858
758,1974
759,1834
760,1664
761,1544
762,1484
763,1622
764,1882
765,1672
766,1678
767,1750
768,1546
769,1628
770,1738
771,1944
772,2106
773,2046
774,2006
775,1908
776,1848
777,1862
778,2090
779,2144
780,2172
781,2144
782,2370
783,2098
784,2216
785,2086
786,1990
787,1960
788,1774
789,1906
790,2138
791,1988
792,2042
793,1854
794,1802
795,1778
796,1694
797,1612
798,1330
799,1330
800,1446
801,1658
802,1874
803,1930
804,1976
805,2002
806,2348
807,2330
808,2312
809,2200
810,1836
811,1662
812,1518
813,1666
814,1946
815,2026
816,2108
817,1944
818,1832
819,1856
820,1582
821,1766
822,1958
823,1950
824,1802
825,1930
826,2158
827,2044
828,2090
829,2220
830,2464
831,2460
832,2528
833,2346
834,2516
835,2410
836,2332
837,2348
838,2346
839,1970
840,2004
841,2046
842,1774
843,1646
844,1640
845,1568
846,1604
847,1138
848,1102
849,1178
850,1348
851,1298
852,1326
853,954
854,1238
855,1392
856,1412
857,1364
858,1238
859,1168
860,1194
861,1336
862,1028
863,1150
864,1016
865,1124
866,978
867,1176
868,1906
869,2116
870,1808
871,1772
872,2078
873,2036
874,1990
875,1904
876,2118
877,1990
878,1822
879,1646
880,1822
881,2104
882,2068
883,1934
884,1856
885,1782
886,1974
887,1878
888,2134
889,2024
890,2112
891,1996
892,1984
893,2076
894,2142
895,2246
896,1832
897,1624
898,1782
899,1954
900,1840
901,1892
902,1504
903,1452
904,1338
905,1264
906,1112
907,1144
908,1280
909,1498
910,1424
911,1352
912,1308
913,1684
914,1808
915,1672
916,1838
917,2096
918,2166
919,2070
920,1788
921,1842
922,1914
923,1822
924,1588
925,2074
926,2086
927,2060
928,2084
929,1636
930,1514
931,1802
932,1890
933,2454
934,2390
935,1896
936,1908
937,1712
938,1290
939,1484
940,1612
941,1436
942,1278
943,1048
944,1140
945,1206
946,1016
947,864
948,846
949,1134
950,1398
951,1702
952,1666
953,2162
954,2382
955,2430
956,2542
957,2244
958,1990
959,1748
960,1494
961,1974
962,1880
963,2058
964,1828
965,1818
966,1826
967,1674
968,1722
969,1330
970,1552
971,1492
972,1704
973,1494
974,1526
975,1484
976,1664
977,1814
978,1794
979,1802
980,1920
981,2048
982,2070
983,1900
984,1676
985,1580
986,1612
987,1660
988,1642
989,1806
990,1368
991,1690
992,1742
993,1704
994,1792
995,2000
996,1796
997,1420
998,1610
999,1804
1000,1924
1001,2214
1002,1880
1003,1504
1004,1274
1005,1546
1006,1538
1007,1588
1008,1510
1009,1402
1010,1446
1011,1552
1012,1456
1013,1476
1014,1664
1015,1440
1016,1104
1017,1288
1018,1222
1019,1270
1020,1436
1021,1396
1022,1160
1023,1276
1024,1342
1025,1430
1026,1356
1027,1334
1028,1220
1029,1340
1030,1672
1031,1682
1032,1934
1033,2060
1034,2024
1035,2032
1036,1950
1037,1880
1038,1894
1039,1828
1040,1764
1041,1570
1042,1250
1043,1652
1044,1798
1045,1898
1046,2008
1047,2298
1048,2246
1049,2358
1050,2468
1051,2444
1052,2402
1053,2290
1054,2360
1055,1878
1056,1690
1057,1544
1058,1580
1059,1682
1060,2050
1061,1700
1062,1606
1063,1968
1064,2034
1065,1826
1066,1700
1067,1760
1068,1998
1069,1784
1070,1690
1071,1738
1072,1820
1073,1704
1074,1814
1075,1798
1076,1978
1077,2044
1078,1956
1079,1796
1080,1830
1081,1684
1082,1518
1083,1448
1084,1618
1085,1550
1086,1536
1087,1792
1088,1834
1089,1832
1090,1840
1091,1702
1092,1530
1093,1504
1094,1708
1095,1452
1096,1248
1097,1172
1098,1228
