,0
0,160
1,454
2,738
3,694
4,1220
5,796
6,1022
7,1362
8,876
9,538
10,734
11,66
12,774
13,1402
14,1748
15,1948
16,2182
17,2926
18,3550
19,3698
20,3490
21,3268
22,3514
23,4058
24,4016
25,3646
26,4142
27,4308
28,4812
29,4626
30,5146
31,5228
32,5000
33,5412
34,5608
35,5476
36,5454
37,5396
38,4838
39,4626
40,4096
41,4416
42,5060
43,5174
44,5318
45,5822
46,6190
47,6560
48,6808
49,7098
50,7516
51,7400
52,7862
53,7910
54,7730
55,7240
56,7742
57,8092
58,8982
59,8354
60,8984
61,8944
62,8902
63,8606
64,9562
65,9778
66,10236
67,10148
68,9944
69,9524
70,10106
71,10668
72,11320
73,11670
74,12390
75,12336
76,12872
77,12736
78,12934
79,12764
80,12908
81,13036
82,13250
83,13138
84,12778
85,12626
86,12216
87,11922
88,11662
89,11534
90,11294
91,11422
92,11156
93,11146
94,10786
95,11754
96,12704
97,13128
98,13304
99,13286
100,12758
101,12900
102,12924
103,13814
104,14078
105,14604
106,14634
107,14720
108,14506
109,14706
110,14240
111,14250
112,14276
113,14436
114,14126
115,13948
116,13616
117,13742
118,14136
119,14610
120,14296
121,14604
122,14800
123,14500
124,14444
125,14198
126,14056
127,13916
128,14118
129,13628
130,14240
131,13696
132,13476
133,12978
134,13586
135,12730
136,12722
137,12860
138,12690
139,12342
140,12366
141,12484
142,12270
143,12004
144,12860
145,13786
146,13486
147,13640
148,13700
149,13982
150,14820
151,15286
152,14840
153,14544
154,13884
155,13690
156,13758
157,13772
158,13544
159,14196
160,14018
161,13704
162,13332
163,13712
164,14010
165,14396
166,14064
167,14046
168,13616
169,14306
170,13984
171,13956
172,14616
173,14964
174,15144
175,14936
176,14684
177,15308
178,15096
179,14896
180,14500
181,15090
182,14514
183,14642
184,15034
185,14960
186,15852
187,16040
188,16098
189,16250
190,16316
191,16240
192,15954
193,16304
194,16250
195,16676
196,16308
197,15876
198,15932
199,15980
200,16018
201,16156
202,16160
203,15720
204,15996
205,15974
206,16452
207,16486
208,15994
209,16532
210,16528
211,17228
212,17326
213,17684
214,18034
215,18064
216,18860
217,18914
218,18920
219,18578
220,18578
221,18852
222,18836
223,19092
224,19234
225,19174
226,19246
227,18380
228,19022
229,19002
230,19578
