,0
0,84
1,812
2,678
3,1244
4,1126
5,1232
6,1096
7,1122
8,1656
9,1936
10,1840
11,1914
12,2104
13,2594
14,2704
15,3024
16,3154
17,4016
18,4186
19,4418
20,4490
21,4554
22,5198
23,5240
24,5594
25,5502
26,5722
27,6434
28,6430
29,6576
30,6934
31,7264
32,7094
33,7194
34,7790
35,7838
36,7580
37,8142
38,8526
39,7988
40,7866
41,7930
42,7862
43,7318
44,6942
45,7986
46,8502
47,7930
48,7570
49,7274
50,8244
51,7666
52,7898
53,8748
54,8444
55,8806
56,8404
57,9026
58,8954
59,9708
60,9346
61,9014
62,9212
63,9302
64,9694
65,9716
66,9282
67,9134
68,8980
69,8760
70,9450
71,9578
72,9634
73,9764
74,9098
75,9324
76,9124
77,9272
78,9256
79,9200
80,9118
81,8832
82,8584
83,8226
84,7960
85,8250
86,8440
87,8526
88,9000
89,8378
90,8364
91,8528
92,8976
93,9172
94,9272
95,8610
96,8134
97,8562
98,8166
99,8948
100,9816
101,10222
102,10732
103,11526
104,11794
105,11902
106,12190
107,12476
108,11920
109,11882
110,11828
111,11568
112,11540
113,11264
114,11792
115,11254
116,11088
117,10444
118,9832
119,9018
120,9926
121,9978
122,9860
123,9354
124,9862
125,9782
126,9980
127,9998
128,9654
129,10050
130,9840
131,10312
132,9986
133,9494
134,9438
135,8372
136,8184
137,7722
138,7722
139,7742
140,8004
141,8374
142,8162
143,8184
144,8220
145,8292
146,8416
147,8464
148,9086
149,9594
150,9814
151,10066
152,10466
153,11026
154,11368
155,11298
156,11296
157,10952
158,11558
159,10776
160,11666
161,10814
162,10278
163,9674
164,10292
165,9584
166,9262
167,9344
168,9156
169,9666
170,8936
171,8650
172,8524
173,8830
174,8610
175,8082
176,8176
177,7778
178,7498
179,7464
180,7746
181,7710
182,7612
183,7458
184,7104
185,6544
186,7144
187,7250
188,6660
189,7004
190,6858
191,7058
192,6504
193,7052
194,7220
195,7508
196,7204
197,6816
198,6706
199,6924
200,6288
201,5884
202,5564
203,6026
204,6366
205,7068
206,6678
207,6888
208,6928
209,7550
210,7378
211,7502
212,7856
213,8344
214,8588
215,9116
216,9384
217,9600
218,10224
219,9874
220,9998
221,9742
222,10124
223,9540
224,10076
225,9658
226,9880
227,10206
228,9848
229,10138
230,9940
231,9264
232,9112
233,8600
234,8230
235,7622
236,7450
237,7270
238,8038
239,8560
240,8554
241,8648
242,8376
243,8674
244,9422
245,9648
246,10156
247,10524
248,10066
249,9488
250,8334
251,8486
252,8470
253,9290
254,8972
255,9374
256,10118
257,10184
258,10534
259,10782
260,10874
261,10930
262,11234
263,11394
264,11510
265,11250
266,10978
267,10966
268,11070
269,11264
270,10856
271,11418
272,11932
273,11424
274,11686
275,11410
276,10914
277,11176
278,11382
279,11586
280,11604
281,12372
282,12124
283,12262
284,12220
285,12716
286,12066
287,11918
288,11674
289,11282
290,11206
291,10866
292,11164
293,10878
294,10758
295,11326
296,11594
297,11604
298,11574
299,11208
300,10758
301,10084
302,10442
303,10150
304,9712
305,9268
306,9132
307,9180
308,9220
309,8894
310,8966
311,9136
312,9020
313,9618
314,9128
315,8988
316,8740
317,8186
318,8692
319,8172
320,8478
321,8936
322,9102
323,9070
324,9212
325,9232
326,9554
327,9288
328,9072
329,9068
330,9432
331,9664
332,9276
333,9550
334,9982
335,10262
336,10254
337,10202
338,10304
339,10218
340,9836
341,9328
342,9266
343,9508
344,9048
345,9806
346,10608
347,10912
348,10390
349,10770
350,10650
351,10596
352,10488
353,10698
354,11090
355,10206
356,10378
357,10882
358,10504
359,9872
360,9820
361,10474
362,10576
363,10614
364,11398
365,10728
366,10484
367,11478
368,11534
369,11894
370,12192
371,11144
372,11022
373,11066
374,10632
375,10768
376,10842
377,11258
378,10690
379,10924
380,11484
381,12090
382,11824
383,11830
384,12642
385,12780
386,12492
387,13112
388,12258
389,11634
390,11112
391,10876
392,11108
393,11074
394,11178
395,11004
396,10872
397,10166
398,10386
399,9916
400,10134
401,9894
402,9504
403,10634
404,10292
405,10710
406,10506
407,10152
408,9598
409,9566
410,9580
411,9358
412,9352
413,9674
414,9954
415,9706
416,9694
417,9008
418,8094
419,8352
420,8532
421,8268
422,8208
423,8822
424,9232
425,9194
426,9218
427,9142
428,9082
429,8958
430,9690
431,9208
432,8792
433,9234
434,8886
435,8666
436,8820
437,9094
438,8740
439,8394
440,8474
441,8528
442,8608
443,8898
444,8734
445,8940
446,8988
447,9182
448,9986
449,9688
450,9432
451,9556
452,9358
453,9142
454,8934
455,8918
456,8882
457,8242
458,9234
459,8582
460,9584
461,9264
462,9274
463,8870
464,8206
465,8478
466,9288
467,9692
468,9626
469,9802
470,9112
471,9044
472,8332
473,8284
474,8020
475,8464
476,8510
477,9088
478,8518
479,8272
480,8022
481,8586
482,8628
483,8978
484,9148
485,9354
486,8786
487,8820
488,9298
489,9832
490,9554
491,9578
492,9350
493,8712
494,9158
495,8552
496,9138
497,9440
498,9150
499,8930
500,8972
501,8482
502,7786
503,7312
504,8090
505,8098
506,8734
507,8834
508,8766
509,8406
510,8544
511,9160
512,8868
513,8812
514,9070
515,9188
516,9078
517,9014
518,8860
519,8348
520,8478
521,8388
522,8480
523,8358
524,7958
525,7320
526,7784
527,8246
528,9562
529,9142
530,9272
531,9590
532,9754
533,10420
534,10124
535,10240
536,10600
537,10686
538,11630
539,11114
540,11414
541,10846
542,10494
543,10178
544,9918
545,9970
546,10196
547,10572
548,9968
549,9644
550,9474
551,8948
552,8394
553,8168
554,8154
555,8410
556,8752
557,9254
558,8720
559,9104
560,8980
561,9454
562,9790
563,9412
564,9560
565,10608
566,10454
567,9754
568,9928
569,9928
570,9818
571,10342
572,9644
573,9662
574,9670
575,9886
576,10404
577,10668
578,9876
579,9552
580,9376
581,9712
582,9688
583,9588
584,9484
585,9182
586,8666
587,9544
588,9766
589,10050
590,9520
591,10194
592,10558
593,10500
594,10724
595,11058
596,11622
597,11638
598,12200
599,11746
600,11570
601,11368
602,11344
603,10822
604,10920
605,11256
606,11766
607,11974
608,12110
609,12596
610,13050
611,12472
612,12190
613,12586
