,0
0,124
1,58
2,248
3,194
4,-62
5,-226
6,-190
7,-172
8,-562
9,-6
10,220
11,70
12,816
13,980
14,1244
15,1172
16,1114
17,1536
18,808
19,830
20,436
21,828
22,908
23,1210
24,1348
25,616
26,622
27,656
28,738
29,784
30,1382
31,1334
32,1642
33,1926
34,2004
35,2058
36,2620
37,2446
38,2168
39,2362
40,2908
41,2938
42,2714
43,2606
44,2352
45,3032
46,3246
47,3398
48,4196
49,4062
50,5086
51,5394
52,5050
53,4546
54,4502
55,4172
56,4088
57,4688
58,4332
59,3502
60,4028
61,4380
62,5058
63,5330
64,4476
65,4716
66,4466
67,3688
68,3446
69,3204
70,2798
71,3060
72,3250
73,3418
74,2920
75,2528
76,2918
77,3446
78,4094
79,3812
80,3914
81,4268
82,3892
83,4228
84,4204
85,3506
86,3928
87,4022
88,3884
89,4116
90,4138
91,4158
92,4034
93,3544
94,4130
95,4098
96,4248
97,3870
98,3518
99,2980
100,2388
101,2098
102,1826
103,2060
104,1836
105,1952
106,1756
107,1564
108,1336
109,1122
110,1938
111,1790
112,2004
113,1310
114,1250
115,530
116,704
117,1242
118,2142
119,2248
120,2344
121,1934
122,2118
123,1794
124,1570
125,1600
126,2062
127,2832
128,2988
129,3202
130,3194
131,2648
132,2590
133,2422
134,2602
135,2044
136,1824
137,2008
138,1822
139,1920
140,1436
141,1880
142,1912
143,1404
144,1244
145,1082
146,1528
147,1118
148,1090
149,882
150,714
151,384
152,862
153,1036
154,880
155,780
156,754
157,1440
158,1490
159,2128
160,1642
161,1290
162,1402
163,1130
164,1362
165,1434
166,1734
167,1620
168,2098
169,1948
170,2028
171,1916
172,1960
173,1670
174,2018
175,1226
176,1348
177,1408
178,1562
179,1820
180,2416
181,2388
182,2826
183,2328
184,2710
185,3102
186,3232
187,2954
188,2668
189,2924
190,3380
191,3510
192,3592
193,3502
194,4500
195,4204
196,3998
197,3826
198,4226
199,3948
200,3476
201,3926
202,3458
203,3192
204,3364
205,2578
206,1676
207,2070
208,1852
209,2102
210,1950
211,1946
212,1906
213,1798
214,2076
215,1962
216,2226
217,2016
218,2290
219,1460
220,1722
221,1632
222,1808
223,1532
224,892
225,840
226,760
227,464
228,294
229,568
230,950
231,990
232,756
233,1000
234,1204
235,1256
236,1258
237,1592
238,2056
239,2532
240,2282
241,2638
242,2898
243,2812
244,2704
245,2742
246,2688
247,2756
248,2864
249,2776
250,3006
251,2956
252,3526
253,3820
254,3396
255,3588
256,3254
257,2886
258,2766
259,3216
260,3514
261,3632
262,3364
263,3614
264,3442
265,3854
266,4202
267,4744
268,4664
269,5124
270,5208
271,4658
272,5028
273,5046
274,4964
275,5384
276,4850
277,5044
278,4656
279,4792
280,4324
281,3970
282,4178
283,3914
284,3236
285,2860
286,2854
287,2948
288,2914
289,3556
290,3252
291,3572
292,3272
293,3082
294,3282
295,2640
296,2214
297,1398
298,1302
299,1500
300,2378
301,2114
302,1966
303,2498
304,3012
305,3164
306,3138
307,3102
308,3758
309,3878
310,3752
311,3670
312,3710
313,3964
314,3910
315,3008
316,3076
317,3096
318,3284
319,3472
320,3808
321,3564
322,3500
323,3242
324,3962
325,3708
326,3684
327,3266
328,3050
329,3650
330,4094
331,4280
332,4464
333,4324
334,5072
335,4800
336,4968
337,4920
338,4722
339,4628
340,4974
341,5048
342,5288
343,5244
344,5412
345,5706
346,5218
347,4984
348,5338
349,5110
350,5500
351,4890
352,4602
353,4890
354,4608
355,4350
356,4958
357,4936
358,4912
359,5296
360,5496
361,5602
362,5456
363,5268
364,4756
365,4926
366,5248
367,4894
368,4608
369,4554
370,4594
371,4482
372,4384
373,4630
374,4766
375,4982
376,4716
377,4990
378,5416
379,4806
380,5032
381,5056
382,5612
383,5846
384,5858
385,5708
386,6784
387,6162
388,6000
389,6198
390,6610
391,6376
392,6276
393,6812
394,6816
395,7190
396,7090
397,6834
398,6512
399,7220
400,7640
401,7236
402,6932
403,6630
404,6190
405,6420
406,5998
