,0
0,316
1,594
2,434
3,160
4,-180
5,-304
6,82
7,486
8,310
9,720
10,820
11,842
12,982
13,1110
14,1488
15,1722
16,1500
17,1812
18,2258
19,2262
20,1982
21,2444
22,2386
23,2560
24,2422
25,2006
26,1652
27,1356
28,1856
29,2348
30,2122
31,2244
32,2484
33,2774
34,2984
35,2876
36,2950
37,2956
38,2934
39,2738
40,3078
41,3040
42,3232
43,3388
44,2532
45,2928
46,2594
47,2610
48,2800
49,3526
50,3624
51,3408
52,3542
53,3540
54,3866
55,3728
56,3520
57,3788
58,3324
59,3098
60,3470
61,3864
62,3514
63,2796
64,3564
65,3422
66,3560
67,3524
68,3852
69,3838
70,3336
71,2288
72,2178
73,2320
74,2244
75,2338
76,1918
77,1650
78,2152
79,2168
80,2290
81,2172
82,2300
83,2046
84,2518
85,2844
86,2394
87,2558
88,2138
89,2174
90,2128
91,2826
92,2124
93,2866
94,2780
95,2422
96,3004
97,2954
98,3384
99,3606
100,3752
101,3558
102,3186
103,2864
104,2390
105,2394
106,2532
107,2412
108,2274
109,2666
110,2844
111,2790
112,2016
113,1810
114,1626
115,1824
116,2098
117,2824
118,2970
119,2490
120,2646
121,2410
122,2396
123,2204
124,1590
125,2334
126,2100
127,1466
128,876
129,716
130,392
131,426
132,798
133,1042
134,612
135,-78
136,28
137,48
138,70
139,-38
140,-6
141,326
142,346
143,608
144,622
145,670
146,964
147,1226
148,1084
149,1222
150,1642
151,1806
152,1938
153,1826
154,1850
155,1448
156,1890
157,1440
158,1572
159,1590
160,1448
161,1738
162,2272
163,2244
164,2818
165,2962
166,2944
167,2322
168,3066
169,2504
170,2258
171,2512
172,1822
173,2108
174,2566
175,2746
176,2698
177,2790
178,2638
179,2400
180,2088
181,2198
182,2014
183,2112
184,1492
185,1550
186,1670
187,1502
188,1788
189,1812
190,2444
191,2650
192,2546
193,2256
194,2620
195,2588
196,2768
197,2490
198,2930
199,2748
200,2606
201,2688
202,3366
203,4072
204,3730
205,4152
206,4432
207,5038
208,4398
209,4500
210,4736
211,4776
212,5514
213,5948
214,5190
215,5270
216,5586
217,4834
218,4222
219,4488
220,4630
221,3842
222,3910
223,4040
224,4190
225,3770
226,3494
227,2986
228,2972
229,3342
230,3188
231,3906
232,4218
233,3566
234,3402
235,3410
236,3212
237,3392
238,3334
239,3194
240,3742
241,3254
242,2876
243,2822
244,3066
245,3960
246,4216
247,4346
248,4820
249,4170
250,4380
251,4422
252,4514
253,4614
254,4554
255,4794
256,5192
257,4216
258,3974
259,3886
260,3320
261,3440
262,3356
263,3136
264,2586
265,3060
266,3014
267,2966
268,3372
269,3458
270,3274
271,2906
272,2638
273,2990
274,2776
275,2592
276,2688
277,3222
278,3722
279,3448
280,3690
281,3656
282,3166
283,3060
284,2964
285,3342
286,3366
287,2894
288,3224
289,2818
290,2650
291,2736
292,2890
293,2890
294,2630
295,2580
296,2938
297,3042
298,3342
299,3612
300,3876
301,3726
302,3826
303,3184
304,3194
305,3044
306,2934
307,3734
308,3804
309,4068
310,3996
311,3680
312,4198
313,4410
314,4746
315,4706
316,4892
317,4722
318,4742
319,4866
320,5164
321,5582
322,5086
323,5302
324,5386
325,5594
326,5370
327,5102
328,4548
329,4738
330,4330
331,3756
332,4296
333,3996
334,4008
335,3794
336,3410
337,3718
338,4254
339,4334
340,4600
341,5344
342,4966
343,4968
344,4316
345,3598
346,3560
347,3336
348,3470
349,4108
350,4542
351,4824
352,5242
353,4804
354,4752
355,4420
356,3862
357,3284
358,3384
359,3538
360,3806
361,3898
362,3688
363,3178
364,2912
365,3180
366,3764
367,3610
368,3304
369,3876
370,4248
371,4082
372,3906
373,4058
374,3434
375,3738
376,4012
377,3602
378,4176
379,4284
380,4194
381,3724
382,3376
383,3322
384,3078
385,2440
386,2700
387,2824
388,2508
389,2114
390,1812
391,2166
392,2532
393,2768
394,1926
395,2032
396,1954
397,2336
398,2600
399,2150
400,2416
401,2186
402,2064
403,2160
404,1742
405,1206
406,1438
407,1336
408,1614
409,670
410,114
411,412
412,42
413,-128
414,98
415,502
416,1026
417,1052
418,1198
419,1814
420,1722
421,1466
422,998
423,1370
424,1110
425,650
426,1134
427,1474
428,1604
429,2078
430,2272
431,2316
432,2150
433,2088
434,2450
435,3070
436,3298
437,3404
438,3178
439,3242
440,3168
441,3624
442,3784
443,4200
444,4026
445,4374
446,4234
447,3862
448,3740
449,4136
450,4230
451,3842
452,3708
453,3360
454,2946
455,2022
456,2152
457,2376
458,2542
459,2766
460,2780
461,3260
462,4118
463,4440
464,3990
465,4154
466,4400
467,4326
468,4524
469,4080
470,4042
471,4166
472,3878
473,3804
474,2956
475,3418
476,4096
477,3796
478,3150
479,3984
480,4160
481,3910
482,3562
483,3438
484,3814
485,3934
486,4194
487,4716
488,4324
489,4486
490,3912
491,4186
492,4218
493,4562
494,4262
495,3904
496,3892
497,4192
498,4648
499,5240
500,5198
501,4726
502,4402
503,4656
504,4620
505,4990
506,4872
507,3906
508,4648
509,4264
510,4244
511,4230
512,4508
513,4264
514,3962
515,4502
516,4744
517,4866
518,4120
519,4340
520,4772
521,4994
522,4900
