,0
0,502
1,222
2,350
3,188
4,514
5,180
6,560
7,624
8,736
9,1118
10,1778
11,2162
12,2502
13,2818
14,3238
15,3026
16,3366
17,3328
18,3228
19,2978
20,2594
21,2042
22,1762
23,1856
24,2056
25,2208
26,2458
27,2850
28,2720
29,2900
30,2668
31,1954
32,2388
33,2314
34,2212
35,2484
36,2482
37,2580
38,2446
39,2696
40,2918
41,3040
42,3284
43,3500
44,4022
45,4772
46,5012
47,5250
48,5574
49,5310
50,5794
51,5572
52,5874
53,5734
54,5802
55,6432
56,6368
57,5702
58,5298
59,5314
60,5408
61,5058
62,4678
63,4652
64,4834
65,4760
66,4338
67,4086
68,4040
69,4682
70,4756
71,4698
72,4412
73,3818
74,3272
75,3208
76,2968
77,3392
78,3674
79,3316
80,3758
81,3408
82,3298
83,3828
84,3982
85,4106
86,3932
87,3584
88,3976
89,4408
90,3942
91,3596
92,4044
93,4342
94,4430
95,4498
96,4376
97,5272
98,5770
99,5562
100,5270
101,4706
102,4888
103,5150
104,4752
105,4974
106,4812
107,5066
108,5540
109,4832
110,5102
111,5222
112,5078
113,5026
114,4614
115,4156
116,3916
117,3606
118,3212
119,3174
120,3472
121,3482
122,3608
123,3858
124,3924
125,4284
126,4362
127,4028
128,3948
129,3768
130,4220
131,3834
132,4264
133,4938
134,4934
135,5388
136,6032
137,5612
138,6208
139,6134
140,5432
141,4968
142,5188
143,4920
144,4698
145,4310
146,4446
147,4726
148,5344
149,5180
150,5242
151,4678
152,5266
153,5624
154,5658
155,5942
156,5572
157,5136
158,5484
159,5170
160,5330
161,4892
162,4954
163,5670
164,5300
165,5490
166,5066
167,4838
168,5074
169,5458
170,5454
171,4816
172,4534
173,4762
174,5204
175,5196
176,4760
177,4790
178,5102
179,5104
180,4876
181,5128
182,5446
183,6036
184,6114
185,5632
186,5240
187,5560
188,6130
189,5966
190,6122
191,6234
192,6440
193,6298
194,6572
195,7482
196,7070
197,6550
198,6200
199,5820
200,5400
201,5434
202,5036
203,5218
204,4510
205,5320
206,5134
207,5336
208,4740
209,4756
210,5218
211,4570
212,4380
213,4690
214,4696
215,5052
216,4350
217,4352
218,4896
219,4578
220,4284
221,3946
222,3598
223,3438
224,3734
225,3680
226,3900
227,3858
228,3554
229,3656
230,4040
231,3788
232,3588
233,3656
234,3918
235,4090
236,4764
237,4386
238,4390
239,4732
240,5268
241,5644
242,6160
243,5814
244,6276
245,5852
246,5516
247,5860
248,5628
249,5580
250,4960
251,4910
252,5090
253,5636
254,5770
255,4988
256,4412
257,4114
258,4098
259,4078
260,4026
261,4160
262,4176
263,4020
264,3394
265,3104
266,2918
267,3080
268,3424
269,3904
270,3916
271,3626
272,3328
273,2768
274,2660
275,2930
276,2910
277,3302
278,3644
279,3772
280,4146
281,4032
282,4398
283,4372
284,4348
285,5090
286,4850
287,4590
288,4898
289,4854
290,5124
291,5240
292,5016
293,5802
294,5806
295,5856
296,5428
297,5034
298,5090
299,5126
300,4698
301,4246
302,4546
303,4828
304,5398
305,5580
306,5482
307,5022
308,4988
309,4470
310,4572
311,4918
312,5046
313,5126
314,4238
315,4972
316,4238
317,4476
318,3714
319,3474
320,3424
321,3852
322,3862
323,4110
324,4030
325,3756
326,4130
327,4142
328,3892
329,3760
330,3684
331,3508
332,3724
333,3886
334,3828
335,3712
336,4584
337,4356
338,4096
339,4086
340,4470
341,4354
342,3982
343,3396
344,3804
345,4092
346,3950
347,3976
348,4134
349,3774
350,3558
351,3730
352,3260
353,3220
354,3118
355,3224
356,3092
357,3774
358,3800
359,3822
360,4792
361,4622
362,4836
363,4492
364,4354
365,4218
366,4294
367,4518
368,3818
369,4180
370,4306
371,5162
372,5196
373,5340
374,5046
375,4950
376,5346
377,4978
378,5088
379,4696
380,4832
381,4402
382,4510
383,4810
384,4628
385,4734
386,4586
387,4932
388,4994
389,5296
390,5152
391,4976
392,4832
393,4200
394,4234
395,4762
396,4722
397,3932
398,4744
399,4472
400,4548
401,4486
402,3954
403,4130
404,4584
405,4978
406,4602
407,4356
408,3716
409,3820
410,3618
411,4032
412,3814
413,3380
414,2992
415,2722
416,2820
417,2834
418,2842
419,2584
420,2354
421,2194
422,2524
423,2278
424,2048
425,2460
426,2506
427,2484
428,2604
429,2252
430,2892
431,2652
432,2884
433,2434
434,2552
435,3082
436,3018
437,3358
438,3070
439,2850
440,3044
441,3166
442,3388
443,3290
444,3414
445,3654
446,3790
447,3866
448,3800
449,3598
450,3106
451,3390
452,3500
453,3690
454,4094
455,3948
456,3990
457,4432
458,4472
459,4386
460,4260
461,4466
462,4318
463,4112
464,4374
465,4350
466,4738
467,4804
468,4172
469,4140
470,4426
471,4048
472,3584
473,3440
474,3584
475,3292
476,3906
477,3272
478,3254
479,3372
480,3252
481,3290
482,3470
483,3562
484,3728
485,3726
486,4096
487,4974
488,5412
489,4740
490,5092
491,5072
492,5368
493,4986
494,5074
495,4832
496,5188
497,4906
498,4530
499,4498
500,4634
501,4916
502,5120
503,4812
504,4108
505,3808
506,3652
507,4480
508,5236
509,5046
510,4572
511,4102
512,4450
513,4844
514,4840
515,4650
516,5100
517,5170
518,4482
519,4896
520,4490
521,4224
522,3846
523,3448
524,3178
525,3892
526,4418
527,4426
528,3868
529,3656
530,3820
531,4132
532,4222
533,4016
534,4050
535,3396
536,3418
537,3022
538,3254
539,3676
540,2928
541,2640
542,2896
543,2582
544,2928
545,3244
546,3076
547,2260
548,2068
549,1750
550,2304
551,1954
552,2104
553,2008
554,1766
555,2514
556,2478
557,2890
558,3236
559,3446
560,3274
561,3192
562,3402
563,3896
564,3768
565,4040
566,3656
567,3656
568,3446
569,3152
570,2362
571,2858
572,3156
573,3296
574,3244
575,3170
576,3440
577,3506
578,2978
579,2954
580,2504
581,2694
582,2514
583,2620
584,3336
585,2988
586,3582
587,3778
588,3472
589,3624
590,3996
591,4418
592,3848
593,3692
594,3444
595,2966
596,3378
597,3498
598,3734
599,3750
600,3822
601,3568
602,3652
603,3872
604,4032
605,4248
606,4374
607,3908
608,3346
609,3894
610,3276
611,3422
612,4756
613,4658
614,4026
615,3940
616,4184
617,4312
618,4230
619,4270
620,4362
621,3788
622,3518
623,3300
624,3170
625,2952
626,2994
627,2782
628,3448
629,3354
630,2788
631,2580
632,3044
633,3532
634,3250
635,3264
636,2988
637,2488
638,2606
639,2606
640,2486
641,2646
642,2476
643,2094
644,2310
645,2132
646,2116
647,2528
648,2416
649,2450
650,2620
651,2720
652,2016
653,2048
654,1828
655,1602
656,1416
657,1488
658,1874
659,2370
660,2724
661,2338
662,1970
663,1902
664,1998
665,1692
666,2064
667,1914
668,1566
669,628
670,976
671,1418
672,1430
673,1540
674,1240
675,1868
676,2110
677,2170
678,1792
679,2298
680,2486
681,1936
682,1872
683,2556
684,2228
685,1768
686,2308
687,2544
688,2926
689,2530
690,2394
691,2380
692,2648
693,2878
694,2822
695,2916
696,2798
697,2948
698,3410
699,3266
700,3564
701,3252
702,3110
703,2760
704,2852
705,2704
706,2550
707,2888
708,2868
709,3326
710,3252
711,3728
712,3408
713,3804
714,3514
715,3708
716,3742
717,3692
718,3482
719,3350
720,3312
721,3560
722,4148
723,4028
724,4156
725,4454
726,4578
727,4406
728,4364
729,4226
730,4030
731,4098
732,4194
733,4168
734,4216
735,3848
736,3988
737,3682
738,3458
739,3428
740,3164
741,3172
742,3312
743,3310
744,3728
745,4230
746,4010
747,3702
748,3968
749,3496
750,3712
751,4346
752,4558
753,4696
754,4532
755,4068
756,4504
757,4326
758,4466
759,5098
760,4626
761,4128
762,4470
763,4462
764,4430
765,4098
766,4676
767,5100
768,4984
769,5020
770,5468
771,5764
772,5782
773,5430
774,5524
775,5642
776,6046
777,5632
778,5102
779,4826
780,4304
781,4766
782,5252
783,4770
784,4616
785,4874
786,5008
787,5278
788,5300
789,5676
790,5274
791,4980
792,4830
793,4492
794,4492
795,3962
796,3784
797,3864
798,3400
799,3428
800,3728
801,3626
802,3436
803,4150
804,3698
805,3512
806,3400
807,2864
808,2916
809,2708
810,2728
811,2492
812,2416
813,2598
814,2546
815,2642
816,2606
817,2998
818,2766
819,3300
820,3248
821,3650
822,2704
823,2662
824,2936
825,2388
826,3030
827,2858
828,3348
829,3582
830,3290
831,3096
832,3232
833,3510
834,4022
835,4258
836,4360
837,4010
838,3644
839,3862
840,3786
841,4232
842,4310
843,4960
844,4904
845,4772
846,4864
847,5186
848,4938
849,5406
850,4918
851,4438
852,3860
853,3972
854,3930
855,3988
856,3430
857,3548
858,3864
859,4450
860,4676
861,4380
862,4214
863,4482
864,4710
865,4600
866,4348
867,4552
868,4374
869,3994
870,4214
871,3198
872,2644
873,3062
874,2520
875,2518
876,2306
877,2636
878,2882
879,2662
880,3352
881,3442
882,3060
883,3376
884,2992
885,3558
886,3692
887,3498
888,3070
889,3366
890,3554
891,3812
892,4308
893,3926
894,3400
895,3736
896,3986
897,4484
898,4536
899,4094
900,4016
901,4500
902,4338
903,4886
904,4834
905,4714
906,3924
907,3906
908,3950
909,3714
910,3830
911,2852
912,2918
913,3324
914,3390
915,2830
916,3046
917,3134
918,3066
919,3130
920,3550
921,3514
922,3684
923,3306
924,2934
925,2866
926,2812
927,2994
928,3722
929,3922
930,3730
931,3624
932,3018
933,3214
934,3452
935,3936
936,3840
937,3620
938,3054
939,3292
940,3520
941,3474
942,2942
943,3070
944,2924
945,2744
946,3338
947,3398
948,4264
949,4346
950,4224
951,3302
952,3448
953,3556
954,2986
955,3134
956,2848
957,2856
958,2674
959,2480
960,2246
961,2340
962,2318
963,1736
964,1924
965,1740
966,1338
967,1388
968,1858
969,1492
970,1398
971,1312
972,1562
973,1808
974,1736
975,1908
976,2214
977,2384
978,2332
979,2454
980,2592
981,2500
982,2930
983,2800
984,3190
985,2988
986,2620
987,2884
988,3170
989,3072
990,3332
991,3342
992,2822
993,3388
994,3190
995,2662
996,2612
997,3182
998,3172
999,3226
1000,3006
1001,2920
1002,3626
1003,3646
1004,3374
1005,4154
1006,4410
1007,3998
1008,3694
1009,3238
1010,3448
1011,3336
1012,3518
1013,4072
1014,3736
1015,4008
1016,4216
1017,3578
1018,3512
1019,3504
1020,3742
1021,3932
1022,4380
1023,3762
1024,3672
1025,3876
1026,3900
1027,3836
1028,3436
